cohort,candidate,family,status,validation_ap,elapsed_seconds,best_epoch
44,tabm_07,tabm,COMPLETED,0.4302175337625938,30.003306700000394,17.0
44,tabm_08,tabm,COMPLETED,0.4509856811246936,21.46651329999804,14.0
44,tabm_09,tabm,COMPLETED,0.4620596747013605,20.3155442999996,30.0
44,tabm_10,tabm,COMPLETED,0.4624977124092445,7.973752300000342,8.0
44,tabm_11,tabm,COMPLETED,0.43587729089702126,18.597607299998344,11.0
44,realmlp_0,realmlp,COMPLETED,0.4593781448399719,36.793035300001065,
44,realmlp_1,realmlp,COMPLETED,0.44769843779480695,32.65645930000028,
44,realmlp_2,realmlp,COMPLETED,0.4708518676239316,31.25530009999784,
44,realmlp_3,realmlp,COMPLETED,0.464236472182378,39.06009269999777,
44,tabicl_0,tabicl,COMPLETED,0.39601087726631024,184.25953550000122,
44,tabicl_1,tabicl,COMPLETED,0.4434453583778025,112.56001339999784,
44,mlp_tuned_0,mlp,COMPLETED,0.4448940142222154,5.330250199996954,
44,mlp_tuned_1,mlp,COMPLETED,0.4326338562146701,5.111856499999703,
44,mlp_tuned_2,mlp,COMPLETED,0.4508609578806094,5.679409399999713,
44,mlp_tuned_3,mlp,COMPLETED,0.42425536472050174,3.798614899998938,
44,tabm_refine_15,tabm,COMPLETED,0.464063990263186,20.25526709999758,55.0
44,tabm_refine_20,tabm,COMPLETED,0.4347412536810245,17.416932399999496,45.0
44,tabm_refine_40,tabm,COMPLETED,0.43329345663085167,11.3872048000012,18.0
44,residual_mlp_0,residual_mlp,COMPLETED,0.4366187053248712,1.472866399999475,1.0
44,residual_mlp_1,residual_mlp,COMPLETED,0.42603366119359204,1.4197477999987314,2.0
44,residual_mlp_2,residual_mlp,COMPLETED,0.4668104674053547,1.5720749000029173,5.0
44,residual_mlp_3,residual_mlp,COMPLETED,0.4495485527320027,1.3148652000018046,1.0
44,residual_mlp_4,residual_mlp,COMPLETED,0.43125672444520324,1.2927495000003546,1.0
44,residual_mlp_5,residual_mlp,COMPLETED,0.4588896204489036,1.2616712000017287,0.0
44,tabicl_refine_20,tabicl,COMPLETED,0.4116322430550745,102.8094736000021,
44,tabicl_refine_45,tabicl,COMPLETED,0.39555626115136255,139.34040520000053,
44,lightgbm_unweighted_0,lightgbm,COMPLETED,0.478455801789604,0.15160119999927701,
44,lightgbm_unweighted_1,lightgbm,COMPLETED,0.48374389792405365,0.16923899999892456,
44,lightgbm_unweighted_2,lightgbm,COMPLETED,0.46696158400885834,0.19370970000090892,
44,lightgbm_unweighted_3,lightgbm,COMPLETED,0.47232003849867915,0.24105559999952675,
44,logistic_unweighted_0,logistic_regression,COMPLETED,0.451677761113315,0.21642979999887757,
44,logistic_unweighted_1,logistic_regression,COMPLETED,0.4370105177875313,0.22155260000363342,
44,logistic_unweighted_2,logistic_regression,COMPLETED,0.43083862947086704,0.21705459999793675,
44,logistic_unweighted_3,logistic_regression,COMPLETED,0.4263359170743177,0.32694090000222786,
44,tabpfn_30,tabpfn,COMPLETED,0.4572083404824254,248.55722900000183,
44,tabpfn_full,tabpfn,COMPLETED,0.4408248894722414,499.3699003999973,
