seed,name,family,history,latest_only,seconds,origin,patients,positives,selected,captured,recall,precision,lift,ap
43,tabm_04,tabm,False,False,12.678916400000162,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.4663104503238574
43,tabm_05,tabm,False,False,9.309622799999488,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.44326807910710925
43,tabm_06,tabm,False,False,18.51541780000116,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.4912809283239399
43,tabm_07,tabm,False,False,41.47794700000304,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.45432579485230734
43,tabm_08,tabm,False,False,25.857325299999502,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.5187437937810301
43,tabm_09,tabm,False,False,15.20353470000191,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.46268333544866097
43,tabm_10,tabm,False,False,16.65295740000147,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.4882430612986301
43,tabm_11,tabm,False,False,15.116109500002494,reused exact prior development predictions,344,37,35,17,0.4594594594594595,0.4857142857142857,4.5158301158301155,0.4620838690255907
43,realmlp_0,realmlp,False,False,31.872269600000436,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.5022110645422257
43,realmlp_1,realmlp,False,False,24.02051349999965,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.5157607258807115
43,realmlp_2,realmlp,False,False,23.1691737000001,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.4706652100825256
43,realmlp_3,realmlp,False,False,28.2126219999991,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.5198909087820182
43,tabicl_0,tabicl,False,False,154.85983000000124,reused exact prior development predictions,344,37,35,14,0.3783783783783784,0.4,3.718918918918919,0.47548693904363903
43,tabicl_1,tabicl,False,False,103.25103269999818,reused exact prior development predictions,344,37,35,13,0.35135135135135137,0.37142857142857144,3.4532818532818537,0.42601378029862813
43,mlp_tuned_0,mlp,False,False,6.682949500001996,reused exact prior development predictions,344,37,35,17,0.4594594594594595,0.4857142857142857,4.5158301158301155,0.4872845160850554
43,mlp_tuned_1,mlp,False,False,8.012463399998524,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.4826046751293826
43,mlp_tuned_2,mlp,False,False,8.595002699999895,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.4888066136829282
43,mlp_tuned_3,mlp,False,False,5.845029199997953,reused exact prior development predictions,344,37,35,17,0.4594594594594595,0.4857142857142857,4.5158301158301155,0.46907010084073875
43,tabm_refine_15,tabm,False,False,13.813735500003531,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.4751692150320321
